     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
       135: 2022-10-22  1: 8:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9378     5628262.5248     2830348.2242       0.00586887       0.00344284       0.00233470 
       136: 2022-10-22  1: 9:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9375     5628262.5246     2830348.2231       0.00580048       0.00342627       0.00231646 
       137: 2022-10-22  1: 9:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9372     5628262.5247     2830348.2221       0.00573337       0.00340997       0.00229854 
       138: 2022-10-22  1:10:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9376     5628262.5247     2830348.2216       0.00566752       0.00339395       0.00228095 
       139: 2022-10-22  1:10:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9384     5628262.5248     2830348.2209       0.00560287       0.00337819       0.00226366 
       140: 2022-10-22  1:11:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9383     5628262.5251     2830348.2206       0.00553940       0.00336266       0.00224666 
       141: 2022-10-22  1:11:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9374     5628262.5254     2830348.2202       0.00547707       0.00334735       0.00222993 
       142: 2022-10-22  1:12:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9371     5628262.5254     2830348.2195       0.00541583       0.00333225       0.00221347 
       143: 2022-10-22  1:12:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9369     5628262.5258     2830348.2196       0.00535567       0.00331734       0.00219726 
       144: 2022-10-22  1:13:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9377     5628262.5260     2830348.2193       0.00529655       0.00330262       0.00218129 
       145: 2022-10-22  1:13:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9382     5628262.5263     2830348.2189       0.00523844       0.00328806       0.00216555 
       146: 2022-10-22  1:14:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9379     5628262.5268     2830348.2187       0.00518131       0.00327365       0.00215004 
       147: 2022-10-22  1:14:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9381     5628262.5272     2830348.2184       0.00512513       0.00325939       0.00213473 
       148: 2022-10-22  1:15:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9393     5628262.5270     2830348.2188       0.00506987       0.00324525       0.00211962 
       149: 2022-10-22  1:15:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9381     5628262.5278     2830348.2192       0.00501552       0.00323124       0.00210471 
       150: 2022-10-22  1:16:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9369     5628262.5284     2830348.2194       0.00496204       0.00321733       0.00208998 
       151: 2022-10-22  1:16:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9365     5628262.5285     2830348.2194       0.00490941       0.00320353       0.00207542 
       152: 2022-10-22  1:17:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9362     5628262.5289     2830348.2192       0.00485760       0.00318981       0.00206103 
       153: 2022-10-22  1:17:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9351     5628262.5295     2830348.2190       0.00480661       0.00317617       0.00204680 
       154: 2022-10-22  1:18:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9349     5628262.5296     2830348.2194       0.00475640       0.00316261       0.00203272 
       155: 2022-10-22  1:18:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9340     5628262.5297     2830348.2193       0.00470695       0.00314911       0.00201879 
       156: 2022-10-22  1:19:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9342     5628262.5302     2830348.2193       0.00465825       0.00313566       0.00200500 
       157: 2022-10-22  1:19:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9338     5628262.5308     2830348.2193       0.00461027       0.00312226       0.00199134 
       158: 2022-10-22  1:20:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9339     5628262.5314     2830348.2198       0.00456300       0.00310891       0.00197781 
       159: 2022-10-22  1:20:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9339     5628262.5320     2830348.2205       0.00451642       0.00309559       0.00196441 
       160: 2022-10-22  1:21:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9344     5628262.5321     2830348.2202       0.00447051       0.00308231       0.00195112 
       161: 2022-10-22  1:21:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9350     5628262.5323     2830348.2200       0.00442526       0.00306904       0.00193795 
